name,votes
Tinkaton,7458
Clodsire,5820
Meowscarada,5311
Fuecoco,4464
Ceruledge,3922
Tastugiri Curly Form,3059
Sylveon,2828
Slither Wing,2757
Lucario,2749
Gardevoir,2711
Mimikyu,2711
Koraidon,2437
Gengar,2339
Sprigatito,2255
Pawmot,2236
Umbreon,2104
Maushold,2101
Miraidon,2101
Pawmi,1913
Glaceon,1799
Dragapult,1767
Garchomp,1712
Hydreigon,1711
Volcarona,1689
Charizard,1645
Luxray,1531
Iron Valiant,1473
Eevee,1335
Skeledirge,1331
Quagsire,1257
Pikachu,1243
Quaquaval,1240
Ditto,1219
Snom,1181
Fidough,1156
Arcanine,1111
Glimmora,1095
Flutter Mane,1070
Scream Tail,1048
Leafeon,1041
Azumarill,1018
Goomy,1008
Altaria,991
Tastugiri Droopy Form,987
Ampharos,975
Dragonite,973
Zorua,961
Espeon,948
Zoroark,941
Tyranitar,872
